Country;max_podium;total_podium;ratio_specialisation
Afghanistan;2;2;1.0
Curacao;1;1;1.0
Algeria;9;17;0.5294117647058824
Australia;15;29;0.5172413793103449
Argentina;81;274;0.2956204379562044
Armenia;8;16;0.5
Australia;401;1320;0.3037878787878788
Austria;114;450;0.25333333333333335
Azerbaijan;23;44;0.5227272727272727
Bahamas;36;40;0.9
Barbados;1;1;1.0
Burundi;2;2;1.0
Belgium;54;468;0.11538461538461539
Bermuda;1;1;1.0
Belarus;22;139;0.15827338129496402
Czech Republic;6;12;0.5
Botswana;1;1;1.0
Brazil;136;475;0.2863157894736842
Bahrain;3;3;1.0
Bulgaria;69;342;0.20175438596491227
Canada;348;1352;0.257396449704142
Chile;17;32;0.53125
China;109;989;0.1102123356926188
Ivory Coast;2;3;0.6666666666666666
Cameroon;18;22;0.8181818181818182
Colombia;6;28;0.21428571428571427
Costa Rica;4;4;1.0
Croatia;46;149;0.3087248322147651
Cuba;112;409;0.27383863080684595
Cyprus;1;1;1.0
Czech Republic;45;144;0.3125
Denmark;111;597;0.18592964824120603
Djibouti;1;1;1.0
Dominican Republic;3;7;0.42857142857142855
Ecuador;2;2;1.0
Egypt;11;27;0.4074074074074074
Eritrea;1;1;1.0
Spain;77;489;0.1574642126789366
Estonia;11;50;0.22
Ethiopia;53;53;1.0
Russia;30;279;0.10752688172043011
Fiji;13;13;1.0
Finland;174;900;0.19333333333333333
France;310;1777;0.17445132245357345
Germany;71;586;0.12116040955631399
Gabon;1;1;1.0
UK;338;2068;0.16344294003868473
Germany;184;1005;0.18308457711442785
Georgia;18;32;0.5625
Germany;236;2165;0.10900692840646652
Ghana;20;23;0.8695652173913043
Greece;55;255;0.21568627450980393
Grenada;2;2;1.0
Guatemala;1;1;1.0
Guyana;1;1;1.0
Haiti;5;7;0.7142857142857143
China;2;4;0.5
Hungary;236;1135;0.20792951541850221
Indonesia;28;41;0.6829268292682927
India;173;197;0.8781725888324873
Individual Olympic Athletes;5;5;1.0
Iran;43;68;0.6323529411764706
Ireland;16;35;0.45714285714285713
Iraq;1;1;1.0
Iceland;14;17;0.8235294117647058
Israel;5;9;0.5555555555555556
Virgin Islands, US;1;1;1.0
Italy;359;1637;0.21930360415394012
Jamaica;156;157;0.9936305732484076
Jordan;1;1;1.0
Japan;166;913;0.18181818181818182
Kazakhstan;22;77;0.2857142857142857
Kenya;99;106;0.9339622641509434
Kyrgyzstan;2;3;0.6666666666666666
South Korea;96;638;0.15047021943573669
Kosovo;1;1;1.0
Saudi Arabia;5;6;0.8333333333333334
Kuwait;2;2;1.0
Latvia;9;35;0.2571428571428571
Lebanon;3;4;0.75
Liechtenstein;9;9;1.0
Lithuania;35;61;0.5737704918032787
Luxembourg;3;8;0.375
Morocco;19;23;0.8260869565217391
Malaysia;12;16;0.75
Moldova;2;8;0.25
Mexico;17;110;0.15454545454545454
Mongolia;9;26;0.34615384615384615
Macedonia;1;1;1.0
Montenegro;14;14;1.0
Monaco;1;1;1.0
Mozambique;2;2;1.0
Mauritius;1;1;1.0
Namibia;4;4;1.0
Netherlands;255;1040;0.24519230769230768
Nepal;1;1;1.0
Nigeria;50;99;0.5050505050505051
Niger;1;2;0.5
Norway;164;1033;0.15876089060987417
New Zealand;69;228;0.3026315789473684
Pakistan;119;121;0.9834710743801653
Panama;3;3;1.0
Paraguay;17;17;1.0
Peru;12;15;0.8
Philippines;5;10;0.5
Poland;82;565;0.14513274336283186
Portugal;10;41;0.24390243902439024
North Korea;17;67;0.2537313432835821
Puerto Rico;6;9;0.6666666666666666
Qatar;3;5;0.6
Romania;175;653;0.2679938744257274
South Africa;31;131;0.2366412213740458
Russia;103;1165;0.08841201716738198
Serbia;25;64;0.390625
Senegal;1;1;1.0
;7;9;0.7777777777777778
Slovenia;12;48;0.25
Serbia;39;85;0.4588235294117647
Sri Lanka;2;2;1.0
Sudan;1;1;1.0
Switzerland;92;691;0.13314037626628075
Suriname;2;2;1.0
Slovakia;32;47;0.6808510638297872
Sweden;217;1536;0.14127604166666666
Syria;1;3;0.3333333333333333
Tanzania;2;2;1.0
Czech Republic;139;488;0.2848360655737705
Tonga;1;1;1.0
Thailand;14;30;0.4666666666666667
Tajikistan;1;4;0.25
Togo;1;1;1.0
Taiwan;20;49;0.40816326530612246
Trinidad;28;32;0.875
Tunisia;5;13;0.38461538461538464
Turkey;63;95;0.6631578947368421
United Arab Emirates;1;2;0.5
Syria;1;2;0.5
Uganda;4;7;0.5714285714285714
Ukraine;23;199;0.11557788944723618
Russia;288;2503;0.11506192568917299
Uruguay;31;63;0.49206349206349204
USA;1080;5637;0.19159127195316658
Uzbekistan;14;34;0.4117647058823529
Venezuela;6;15;0.4
Vietnam;2;4;0.5
Trinidad;5;5;1.0
Serbia;84;390;0.2153846153846154
Zambia;1;2;0.5
Zimbabwe;15;22;0.6818181818181818
